set,index,points,current,huffman9,default6,default1,all27,padding,best,payloadBytes,mode,escapes,noCRC_UNSAFE,noHeader_NEW_VERSION,noFrame_UNSAFE,byteWinner,deltaSemanticBytes
full,0,500,994,990,994,994,990,990,L1S2,806,1,0,992,992,990,990,1505
prefix1,0,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,0,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,0,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,0,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,0,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,1,190,419,419,419,419,419,419,current,338,0,0,416,418,416,419,576
prefix1,1,1,15,15,15,15,15,15,current,10,0,0,13,14,12,15,8
prefix2,1,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,11
prefix3,1,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,14
prefix5,1,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix10,1,10,38,38,38,38,38,38,current,28,0,0,35,36,34,38,35
full,2,410,899,899,899,899,899,899,current,728,0,0,897,899,897,899,1235
prefix1,2,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,2,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,2,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,2,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,2,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,3,149,353,353,353,353,353,353,current,285,0,0,351,354,351,353,452
prefix1,3,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,3,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,3,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,3,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,3,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,34
full,4,514,1159,1159,1159,1159,1159,1159,current,940,0,0,1156,1157,1155,1159,1547
prefix1,4,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,4,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,4,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,4,5,24,24,24,24,24,24,current,17,0,0,22,23,20,24,19
prefix10,4,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,5,30,88,88,88,88,88,88,current,69,0,0,86,87,84,88,94
prefix1,5,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,5,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,5,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,5,5,28,28,28,28,28,28,current,20,0,0,25,27,24,28,19
prefix10,5,10,39,39,39,39,39,39,current,29,0,0,36,38,35,39,34
full,6,544,1231,1231,1231,1231,1231,1231,current,998,0,0,1228,1233,1231,1231,1640
prefix1,6,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,6,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,6,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,6,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,6,10,34,34,34,34,34,34,current,25,0,0,32,33,30,34,34
full,7,203,438,438,438,438,438,438,current,353,0,0,435,437,434,438,614
prefix1,7,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,7,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,7,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,7,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,7,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,8,200,440,440,440,440,440,440,current,355,1,0,438,439,436,440,606
prefix1,8,1,15,15,15,15,15,15,current,10,0,0,13,14,12,15,8
prefix2,8,2,19,19,19,19,19,19,current,13,0,0,17,18,15,19,11
prefix3,8,3,20,20,20,20,20,20,current,14,0,0,18,19,17,20,14
prefix5,8,5,27,27,27,27,27,27,current,19,0,0,24,25,23,27,20
prefix10,8,10,38,38,38,38,38,38,current,28,0,0,35,36,34,38,35
full,9,166,313,313,313,313,313,313,current,252,0,0,310,312,310,313,503
prefix1,9,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,9,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,9,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,9,5,23,23,23,23,23,23,current,16,0,0,21,22,19,23,19
prefix10,9,10,32,32,32,32,32,32,current,23,0,0,29,30,28,32,34
full,10,23,76,76,76,76,76,76,current,59,0,0,73,75,72,76,73
prefix1,10,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,10,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,10,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,10,5,28,28,28,28,28,28,current,20,0,0,25,27,24,28,19
prefix10,10,10,41,41,41,41,41,41,current,31,0,0,39,40,38,41,34
full,11,944,2175,2175,2175,2175,2175,2175,current,1763,1,2,2172,2173,2170,2175,2843
prefix1,11,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,11,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,11,3,22,22,22,22,22,22,current,15,0,0,19,20,18,22,13
prefix5,11,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,11,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,34
full,12,31,102,102,102,102,102,102,current,80,0,0,99,100,98,102,97
prefix1,12,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,12,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,12,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,12,5,25,25,25,25,25,25,current,18,0,0,23,24,22,25,19
prefix10,12,10,39,39,39,39,39,39,current,29,0,0,36,38,35,39,34
full,13,45,127,127,127,127,127,127,current,101,0,0,125,126,124,127,142
prefix1,13,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,13,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,13,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,13,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,13,10,37,37,37,37,37,37,current,27,0,0,34,35,33,37,34
full,14,22,69,69,69,69,69,69,current,53,0,0,66,67,65,69,71
prefix1,14,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,14,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,14,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,14,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,14,10,40,40,40,40,40,40,current,30,0,0,38,39,36,40,35
full,15,39,107,107,107,107,107,107,current,84,0,0,104,106,103,107,121
prefix1,15,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,15,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,15,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,15,5,28,28,28,28,28,28,current,19,0,1,25,26,23,28,19
prefix10,15,10,39,39,39,39,39,39,current,29,0,0,37,38,35,39,34
full,16,32,95,95,95,95,95,95,current,75,0,0,93,94,92,95,103
prefix1,16,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,16,2,18,18,18,18,18,18,current,12,0,0,16,17,14,18,10
prefix3,16,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,16,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,16,10,38,38,38,38,38,38,current,28,0,0,35,37,34,38,34
full,17,404,717,717,717,717,717,717,current,579,0,2,715,714,711,717,1218
prefix1,17,1,15,15,15,15,15,15,current,9,0,0,12,13,11,15,7
prefix2,17,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,17,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,17,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,17,10,33,33,33,33,33,33,current,24,0,0,30,32,29,33,34
full,18,25,72,72,72,72,72,72,current,56,0,0,70,71,68,72,79
prefix1,18,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,18,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,18,3,19,19,19,19,19,19,current,13,0,0,17,18,16,19,13
prefix5,18,5,24,24,24,24,24,24,current,17,0,0,22,23,21,24,19
prefix10,18,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,19,19,77,77,77,77,77,77,current,60,0,0,75,76,74,77,73
prefix1,19,1,14,14,14,14,14,14,current,9,0,0,12,13,11,14,7
prefix2,19,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,19,3,22,22,22,22,22,22,current,15,0,0,19,21,18,22,13
prefix5,19,5,27,27,27,27,27,27,current,19,0,0,24,26,23,27,19
prefix10,19,10,48,48,48,48,48,48,current,36,0,0,45,47,45,48,41
full,20,28,69,69,69,69,69,69,current,53,0,0,66,67,65,69,88
prefix1,20,1,15,15,15,15,15,15,current,9,0,1,12,13,11,15,7
prefix2,20,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
prefix3,20,3,21,21,21,21,21,21,current,14,0,0,18,19,17,21,13
prefix5,20,5,26,26,26,26,26,26,current,18,0,0,23,24,22,26,19
prefix10,20,10,35,35,35,35,35,35,current,26,0,0,33,34,32,35,34
full,21,21,54,54,54,54,54,54,current,41,0,0,51,52,50,54,67
prefix1,21,1,14,14,14,14,14,14,current,9,0,0,12,13,12,14,7
prefix2,21,2,19,19,19,19,19,19,current,13,0,0,17,18,16,19,10
