set,index,points,current,tiny11_DIRECT_NEW_WIRE,currentPlusTiny11_NEW_WIRE
prefix1,0,1,15,13,13
prefix2,0,2,19,18,18
prefix3,0,3,21,19,19
prefix5,0,5,26,24,24
prefix10,0,10,35,34,34
prefix1,1,1,15,14,14
prefix2,1,2,19,18,18
prefix3,1,3,22,20,20
prefix5,1,5,27,25,25
prefix10,1,10,38,36,36
prefix1,2,1,14,13,13
prefix2,2,2,18,17,17
prefix3,2,3,21,19,19
prefix5,2,5,24,23,23
prefix10,2,10,34,33,33
prefix1,3,1,15,13,13
prefix2,3,2,18,17,17
prefix3,3,3,21,19,19
prefix5,3,5,26,24,24
prefix10,3,10,37,35,35
prefix1,4,1,15,13,13
prefix2,4,2,18,17,17
prefix3,4,3,21,19,19
prefix5,4,5,24,23,23
prefix10,4,10,35,34,34
prefix1,5,1,14,13,13
prefix2,5,2,19,18,18
prefix3,5,3,22,20,20
prefix5,5,5,28,27,27
prefix10,5,10,39,38,38
prefix1,6,1,14,13,13
prefix2,6,2,18,17,17
prefix3,6,3,22,21,21
prefix5,6,5,26,24,24
prefix10,6,10,34,33,33
prefix1,7,1,14,13,13
prefix2,7,2,18,17,17
prefix3,7,3,21,19,19
prefix5,7,5,24,23,23
prefix10,7,10,33,32,32
prefix1,8,1,15,14,14
prefix2,8,2,19,18,18
prefix3,8,3,20,19,19
prefix5,8,5,27,25,25
prefix10,8,10,38,36,36
prefix1,9,1,14,13,13
prefix2,9,2,19,18,18
prefix3,9,3,21,19,19
prefix5,9,5,23,22,22
prefix10,9,10,32,30,30
prefix1,10,1,14,13,13
prefix2,10,2,19,18,18
prefix3,10,3,22,21,21
prefix5,10,5,28,27,27
prefix10,10,10,41,40,40
prefix1,11,1,14,13,13
prefix2,11,2,19,18,18
prefix3,11,3,22,20,20
prefix5,11,5,26,24,24
prefix10,11,10,37,35,35
prefix1,12,1,15,13,13
prefix2,12,2,19,18,18
prefix3,12,3,21,19,19
prefix5,12,5,25,24,24
prefix10,12,10,39,38,38
prefix1,13,1,15,13,13
prefix2,13,2,18,17,17
prefix3,13,3,21,19,19
prefix5,13,5,26,24,24
prefix10,13,10,37,35,35
prefix1,14,1,14,13,13
prefix2,14,2,19,18,18
prefix3,14,3,21,19,19
prefix5,14,5,26,24,24
prefix10,14,10,40,39,39
prefix1,15,1,14,13,13
prefix2,15,2,19,18,18
prefix3,15,3,22,21,21
prefix5,15,5,28,26,26
prefix10,15,10,39,38,38
prefix1,16,1,14,13,13
prefix2,16,2,18,17,17
prefix3,16,3,22,21,21
prefix5,16,5,26,24,24
prefix10,16,10,38,37,37
prefix1,17,1,15,13,13
prefix2,17,2,19,18,18
prefix3,17,3,21,19,19
prefix5,17,5,24,23,23
prefix10,17,10,33,32,32
prefix1,18,1,14,13,13
prefix2,18,2,19,18,18
prefix3,18,3,19,18,18
prefix5,18,5,24,23,23
prefix10,18,10,35,34,34
prefix1,19,1,14,13,13
prefix2,19,2,19,18,18
prefix3,19,3,22,21,21
prefix5,19,5,27,25,25
prefix10,19,10,48,47,47
prefix1,20,1,15,13,13
prefix2,20,2,19,18,18
prefix3,20,3,21,19,19
prefix5,20,5,26,24,24
prefix10,20,10,35,34,34
prefix1,21,1,14,13,13
prefix2,21,2,19,18,18
prefix3,21,3,22,20,20
prefix5,21,5,26,24,24
prefix10,21,10,34,33,33
full_tiny,22,16,58,56,56
prefix1,22,1,15,13,13
prefix2,22,2,19,18,18
prefix3,22,3,22,20,20
prefix5,22,5,27,25,25
prefix10,22,10,39,38,38
prefix1,23,1,14,13,13
prefix2,23,2,19,18,18
prefix3,23,3,23,22,22
prefix5,23,5,29,28,28
prefix10,23,10,43,41,41
prefix1,24,1,14,13,13
prefix2,24,2,18,17,17
prefix3,24,3,21,19,19
prefix5,24,5,26,24,24
prefix10,24,10,36,35,35
full_tiny,25,3,21,19,19
prefix1,25,1,14,13,13
prefix2,25,2,18,17,17
prefix3,25,3,21,19,19
full_tiny,26,15,39,38,38
prefix1,26,1,14,13,13
